X,Algorithm,value
0.0,AdaHT,90.93
0.001,AdaHT,66.26
0.01,AdaHT,53.48
0.1,AdaHT,55.25
1.0,AdaHT,65.14
0.01,ASHT,54.85
0.0,BagAdaHT,91.55
0.001,BagAdaHT,70.91
0.01,BagAdaHT,54.34
0.1,BagAdaHT,55.64
1.0,BagAdaHT,69.1
0.0,BagAdwin,91.03
0.001,BagAdwin,67.77
0.01,BagAdwin,56.83
0.1,BagAdwin,55.64
1.0,BagAdwin,68.58
0.0,BagASHT,70.77
0.001,BagASHT,68.27
0.01,BagASHT,56.53
0.1,BagASHT,52.75
1.0,BagASHT,54.75
0.0,BagHT,91.03
0.001,BagHT,61.6
0.01,BagHT,54.05
0.1,BagHT,55.71
1.0,BagHT,68.58
0.0,BagSRHT,71.89
0.001,BagSRHT,69.96
0.01,BagSRHT,57.51
0.1,BagSRHT,53.37
1.0,BagSRHT,55.97
0.0,BoostAdaHT,91.55
0.001,BoostAdaHT,73.66
0.01,BoostAdaHT,53.73
0.1,BoostAdaHT,54.73
1.0,BoostAdaHT,68.77
0.0,BoostHT,91.03
0.001,BoostHT,62.54
0.01,BoostHT,53.22
0.1,BoostHT,54.78
1.0,BoostHT,68.82
0.0,HT,91.05
0.001,HT,57.6
0.01,HT,53.15
0.1,HT,54.98
1.0,HT,64.74
